mb_10 icc 10 1.567221	mb_10.icc 11	mb_10.icc 23
mb_11 icc 11 1.066833	mb_11.icc 15	mb_11.icc 25
mb_12 icc 12 1.068683	mb_12.icc 19	mb_12.icc 27
mb_13 icc 13 1.059219	mb_13.icc 23	mb_13.icc 29
mb_14 icc 14 1.060220	mb_14.icc 27	mb_14.icc 31
mb_15 icc 15 1.005479	mb_15.icc 31	mb_15.icc 32
mb_16 icc 16 1.049718	mb_16.icc 35	mb_16.icc 32
mb_17 icc 17 1.040751	mb_17.icc 39	mb_17.icc 32
mb_18 icc 18 1.025336	mb_18.icc 43	mb_18.icc 32
mb_19 icc 19 1.022536	mb_19.icc 47	mb_19.icc 32
mb_1 icc 1 0.999819	mb_1.icc 0	mb_1.icc 8
mb_20 icc 20 1.030803	mb_20.icc 51	mb_20.icc 32
mb_21 icc 21 1.009715	mb_21.icc 55	mb_21.icc 32
mb_22 icc 22 0.999163	mb_22.icc 59	mb_22.icc 32
mb_23 icc 23 0.974948	mb_23.icc 63	mb_23.icc 32
mb_24 icc 24 1.000503	mb_24.icc 67	mb_24.icc 32
mb_25 icc 25 0.991978	mb_25.icc 71	mb_25.icc 32
mb_26 icc 26 0.989171	mb_26.icc 75	mb_26.icc 32
mb_27 icc 27 0.985269	mb_27.icc 79	mb_27.icc 32
mb_28 icc 28 0.989954	mb_28.icc 83	mb_28.icc 32
mb_29 icc 29 0.960255	mb_29.icc 87	mb_29.icc 32
mb_2 icc 2 1.017401	mb_2.icc 0	mb_2.icc 11
mb_30 icc 30 0.970812	mb_30.icc 91	mb_30.icc 32
mb_31 icc 31 0.937635	mb_31.icc 95	mb_31.icc 32
mb_3 icc 3 1.491913	mb_3.icc 0	mb_3.icc 13
mb_4 icc 4 1.489826	mb_4.icc 0	mb_4.icc 16
mb_5 icc 5 1.495358	mb_5.icc 0	mb_5.icc 18
mb_6 icc 6 1.490889	mb_6.icc 0	mb_6.icc 20
mb_7 icc 7 1.556493	mb_7.icc 0	mb_7.icc 20
mb_8 icc 8 1.572137	mb_8.icc 3	mb_8.icc 20
mb_9 icc 9 1.569275	mb_9.icc 7	mb_9.icc 21
