k_13x1x2 icc 13 1 2 30.004728	k_13x1x2.icc 0	k_13x1x2.icc 29	k_13x1x2 icc 13 1 2 18.640886	k_13x1x2.icc 9	k_13x1x2.icc 32
k_13x1x3 icc 13 1 3 10.577675	k_13x1x3.icc 15	k_13x1x3.icc 32	k_13x1x3 icc 13 1 3 13.368999	k_13x1x3.icc 22	k_13x1x3.icc 32
k_13x2x1 icc 13 2 1 22.840443	k_13x2x1.icc 0	k_13x2x1.icc 15	k_13x2x1 icc 13 2 1 23.454721	k_13x2x1.icc 0	k_13x2x1.icc 15
k_13x2x2 icc 13 2 2 13.351715	k_13x2x2.icc 16	k_13x2x2.icc 32	k_13x2x2 icc 13 2 2 17.302295	k_13x2x2.icc 23	k_13x2x2.icc 32
k_13x3x1 icc 13 3 1 22.208191	k_13x3x1.icc 0	k_13x3x1.icc 16	k_13x3x1 icc 13 3 1 23.838334	k_13x3x1.icc 0	k_13x3x1.icc 16
k_14x1x1 icc 14 1 1 22.934656	k_14x1x1.icc 0	k_14x1x1.icc 15	k_14x1x1 icc 14 1 1 22.404933	k_14x1x1.icc 0	k_14x1x1.icc 15
k_14x1x2 icc 14 1 2 29.978131	k_14x1x2.icc 0	k_14x1x2.icc 31	k_14x1x2 icc 14 1 2 16.085724	k_14x1x2.icc 12	k_14x1x2.icc 32
k_14x1x3 icc 14 1 3 9.960176	k_14x1x3.icc 19	k_14x1x3.icc 32	k_14x1x3 icc 14 1 3 12.881145	k_14x1x3.icc 26	k_14x1x3.icc 32
k_14x2x1 icc 14 2 1 23.065212	k_14x2x1.icc 0	k_14x2x1.icc 16	k_14x2x1 icc 14 2 1 23.634937	k_14x2x1.icc 0	k_14x2x1.icc 16
k_14x2x2 icc 14 2 2 8.047810	k_14x2x2.icc 35	k_14x2x2.icc 32	k_14x2x2 icc 14 2 2 16.204711	k_14x2x2.icc 27	k_14x2x2.icc 32
k_14x3x1 icc 14 3 1 22.636258	k_14x3x1.icc 0	k_14x3x1.icc 17	k_14x3x1 icc 14 3 1 24.206576	k_14x3x1.icc 0	k_14x3x1.icc 17
k_1x10x1 icc 1 10 1 4.324661	k_1x10x1.icc 0	k_1x10x1.icc 11	k_1x10x1 icc 1 10 1 6.586015	k_1x10x1.icc 0	k_1x10x1.icc 17
k_1x10x2 icc 1 10 2 8.028659	k_1x10x2.icc 0	k_1x10x2.icc 12	k_1x10x2 icc 1 10 2 8.927060	k_1x10x2.icc 0	k_1x10x2.icc 24
k_1x10x3 icc 1 10 3 8.919113	k_1x10x3.icc 0	k_1x10x3.icc 13	k_1x10x3 icc 1 10 3 8.778349	k_1x10x3.icc 0	k_1x10x3.icc 31
k_1x10x4 icc 1 10 4 8.652544	k_1x10x4.icc 0	k_1x10x4.icc 14	k_1x10x4 icc 1 10 4 9.863259	k_1x10x4.icc 0	k_1x10x4.icc 32
k_1x11x1 icc 1 11 1 4.346697	k_1x11x1.icc 0	k_1x11x1.icc 12	k_1x11x1 icc 1 11 1 6.720295	k_1x11x1.icc 0	k_1x11x1.icc 18
k_1x11x2 icc 1 11 2 8.013078	k_1x11x2.icc 0	k_1x11x2.icc 13	k_1x11x2 icc 1 11 2 8.945243	k_1x11x2.icc 0	k_1x11x2.icc 25
k_1x11x3 icc 1 11 3 8.941762	k_1x11x3.icc 0	k_1x11x3.icc 14	k_1x11x3 icc 1 11 3 9.070053	k_1x11x3.icc 0	k_1x11x3.icc 32
k_1x11x4 icc 1 11 4 8.694892	k_1x11x4.icc 0	k_1x11x4.icc 15	k_1x11x4 icc 1 11 4 9.813082	k_1x11x4.icc 0	k_1x11x4.icc 32
k_1x12x1 icc 1 12 1 4.324212	k_1x12x1.icc 0	k_1x12x1.icc 13	k_1x12x1 icc 1 12 1 6.728570	k_1x12x1.icc 0	k_1x12x1.icc 21
k_1x12x2 icc 1 12 2 7.999751	k_1x12x2.icc 0	k_1x12x2.icc 14	k_1x12x2 icc 1 12 2 8.417172	k_1x12x2.icc 0	k_1x12x2.icc 30
k_1x12x3 icc 1 12 3 8.856324	k_1x12x3.icc 0	k_1x12x3.icc 15	k_1x12x3 icc 1 12 3 8.933434	k_1x12x3.icc 0	k_1x12x3.icc 32
k_1x12x4 icc 1 12 4 8.219912	k_1x12x4.icc 0	k_1x12x4.icc 16	k_1x12x4 icc 1 12 4 9.537399	k_1x12x4.icc 0	k_1x12x4.icc 32
k_1x13x1 icc 1 13 1 4.293848	k_1x13x1.icc 0	k_1x13x1.icc 14	k_1x13x1 icc 1 13 1 6.796567	k_1x13x1.icc 0	k_1x13x1.icc 20
k_1x13x2 icc 1 13 2 7.947607	k_1x13x2.icc 0	k_1x13x2.icc 15	k_1x13x2 icc 1 13 2 8.815716	k_1x13x2.icc 0	k_1x13x2.icc 27
k_1x13x3 icc 1 13 3 8.969795	k_1x13x3.icc 0	k_1x13x3.icc 16	k_1x13x3 icc 1 13 3 9.316306	k_1x13x3.icc 0	k_1x13x3.icc 32
k_1x14x1 icc 1 14 1 4.284644	k_1x14x1.icc 0	k_1x14x1.icc 15	k_1x14x1 icc 1 14 1 6.642191	k_1x14x1.icc 0	k_1x14x1.icc 23
k_1x14x2 icc 1 14 2 7.881081	k_1x14x2.icc 0	k_1x14x2.icc 16	k_1x14x2 icc 1 14 2 8.395084	k_1x14x2.icc 0	k_1x14x2.icc 32
k_1x14x3 icc 1 14 3 8.976820	k_1x14x3.icc 0	k_1x14x3.icc 17	k_1x14x3 icc 1 14 3 9.280800	k_1x14x3.icc 0	k_1x14x3.icc 32
k_1x1x1 icc 1 1 1 3.875082	k_1x1x1.icc 0	k_1x1x1.icc 2	k_1x1x1 icc 1 1 1 2.952282	k_1x1x1.icc 0	k_1x1x1.icc 2
k_1x1x2 icc 1 1 2 8.283098	k_1x1x2.icc 0	k_1x1x2.icc 3	k_1x1x2 icc 1 1 2 7.961294	k_1x1x2.icc 0	k_1x1x2.icc 3
k_1x1x3 icc 1 1 3 10.141954	k_1x1x3.icc 0	k_1x1x3.icc 4	k_1x1x3 icc 1 1 3 9.233527	k_1x1x3.icc 0	k_1x1x3.icc 4
k_1x1x4 icc 1 1 4 10.862071	k_1x1x4.icc 0	k_1x1x4.icc 5	k_1x1x4 icc 1 1 4 10.722513	k_1x1x4.icc 0	k_1x1x4.icc 5
k_1x1x5 icc 1 1 5 10.355594	k_1x1x5.icc 0	k_1x1x5.icc 6	k_1x1x5 icc 1 1 5 10.862590	k_1x1x5.icc 0	k_1x1x5.icc 6
k_1x1x6 icc 1 1 6 10.731566	k_1x1x6.icc 0	k_1x1x6.icc 7	k_1x1x6 icc 1 1 6 10.824211	k_1x1x6.icc 0	k_1x1x6.icc 7
k_1x1x7 icc 1 1 7 11.094832	k_1x1x7.icc 0	k_1x1x7.icc 8	k_1x1x7 icc 1 1 7 9.986390	k_1x1x7.icc 0	k_1x1x7.icc 8
k_1x1x8 icc 1 1 8 11.230167	k_1x1x8.icc 0	k_1x1x8.icc 9	k_1x1x8 icc 1 1 8 10.071000	k_1x1x8.icc 0	k_1x1x8.icc 9
k_1x2x1 icc 1 2 1 4.362333	k_1x2x1.icc 0	k_1x2x1.icc 3	k_1x2x1 icc 1 2 1 4.354890	k_1x2x1.icc 0	k_1x2x1.icc 3
k_1x2x2 icc 1 2 2 8.264064	k_1x2x2.icc 0	k_1x2x2.icc 4	k_1x2x2 icc 1 2 2 8.166494	k_1x2x2.icc 0	k_1x2x2.icc 4
k_1x2x3 icc 1 2 3 10.347184	k_1x2x3.icc 0	k_1x2x3.icc 5	k_1x2x3 icc 1 2 3 9.346225	k_1x2x3.icc 0	k_1x2x3.icc 5
k_1x2x4 icc 1 2 4 10.828579	k_1x2x4.icc 0	k_1x2x4.icc 6	k_1x2x4 icc 1 2 4 9.841709	k_1x2x4.icc 0	k_1x2x4.icc 6
k_1x2x5 icc 1 2 5 10.340532	k_1x2x5.icc 0	k_1x2x5.icc 7	k_1x2x5 icc 1 2 5 10.076256	k_1x2x5.icc 0	k_1x2x5.icc 7
k_1x2x6 icc 1 2 6 10.732006	k_1x2x6.icc 0	k_1x2x6.icc 8	k_1x2x6 icc 1 2 6 10.652046	k_1x2x6.icc 0	k_1x2x6.icc 8
k_1x2x7 icc 1 2 7 10.909645	k_1x2x7.icc 0	k_1x2x7.icc 9	k_1x2x7 icc 1 2 7 9.929646	k_1x2x7.icc 0	k_1x2x7.icc 9
k_1x2x8 icc 1 2 8 11.009826	k_1x2x8.icc 0	k_1x2x8.icc 10	k_1x2x8 icc 1 2 8 10.247119	k_1x2x8.icc 0	k_1x2x8.icc 10
k_1x3x1 icc 1 3 1 4.362571	k_1x3x1.icc 0	k_1x3x1.icc 4	k_1x3x1 icc 1 3 1 4.321839	k_1x3x1.icc 0	k_1x3x1.icc 4
k_1x3x2 icc 1 3 2 8.250352	k_1x3x2.icc 0	k_1x3x2.icc 5	k_1x3x2 icc 1 3 2 8.148392	k_1x3x2.icc 0	k_1x3x2.icc 5
k_1x3x3 icc 1 3 3 10.054968	k_1x3x3.icc 0	k_1x3x3.icc 6	k_1x3x3 icc 1 3 3 9.752442	k_1x3x3.icc 0	k_1x3x3.icc 6
k_1x3x4 icc 1 3 4 10.448665	k_1x3x4.icc 0	k_1x3x4.icc 7	k_1x3x4 icc 1 3 4 9.952758	k_1x3x4.icc 0	k_1x3x4.icc 7
k_1x3x5 icc 1 3 5 10.626305	k_1x3x5.icc 0	k_1x3x5.icc 8	k_1x3x5 icc 1 3 5 10.369239	k_1x3x5.icc 0	k_1x3x5.icc 8
k_1x3x6 icc 1 3 6 10.566903	k_1x3x6.icc 0	k_1x3x6.icc 9	k_1x3x6 icc 1 3 6 10.292711	k_1x3x6.icc 0	k_1x3x6.icc 9
k_1x3x7 icc 1 3 7 10.648983	k_1x3x7.icc 0	k_1x3x7.icc 10	k_1x3x7 icc 1 3 7 10.037503	k_1x3x7.icc 0	k_1x3x7.icc 10
k_1x3x8 icc 1 3 8 10.852901	k_1x3x8.icc 0	k_1x3x8.icc 11	k_1x3x8 icc 1 3 8 10.157384	k_1x3x8.icc 0	k_1x3x8.icc 11
k_1x4x1 icc 1 4 1 4.358046	k_1x4x1.icc 0	k_1x4x1.icc 5	k_1x4x1 icc 1 4 1 4.366082	k_1x4x1.icc 0	k_1x4x1.icc 5
k_1x4x2 icc 1 4 2 8.188475	k_1x4x2.icc 0	k_1x4x2.icc 6	k_1x4x2 icc 1 4 2 8.279494	k_1x4x2.icc 0	k_1x4x2.icc 6
k_1x4x3 icc 1 4 3 9.984049	k_1x4x3.icc 0	k_1x4x3.icc 7	k_1x4x3 icc 1 4 3 9.242879	k_1x4x3.icc 0	k_1x4x3.icc 7
k_1x4x4 icc 1 4 4 10.441369	k_1x4x4.icc 0	k_1x4x4.icc 8	k_1x4x4 icc 1 4 4 10.461514	k_1x4x4.icc 0	k_1x4x4.icc 8
