k_12x4x1 gcc 12 4 1 22.229976	k_12x4x1.gcc 0	k_12x4x1.gcc 27	k_12x4x1 greedy 12 4 1 18.475792	k_12x4x1.greedy 0	k_12x4x1.greedy 16
k_13x1x1 gcc 13 1 1 12.233006	k_13x1x1.gcc 0	k_13x1x1.gcc 26	k_13x1x1 greedy 13 1 1 21.920701	k_13x1x1.greedy 0	k_13x1x1.greedy 14
k_13x1x2 gcc 13 1 2 10.913786	k_13x1x2.gcc 21	k_13x1x2.gcc 32	k_13x1x2 greedy 13 1 2 29.902377	k_13x1x2.greedy 0	k_13x1x2.greedy 29
k_13x1x3 gcc 13 1 3 9.416295	k_13x1x3.gcc 48	k_13x1x3.gcc 32	k_13x1x3 greedy 13 1 3 11.881064	k_13x1x3.greedy 18	k_13x1x3.greedy 32
k_13x2x1 gcc 13 2 1 18.025226	k_13x2x1.gcc 0	k_13x2x1.gcc 27	k_13x2x1 greedy 13 2 1 22.737225	k_13x2x1.greedy 0	k_13x2x1.greedy 15
k_13x2x2 gcc 13 2 2 16.465995	k_13x2x2.gcc 25	k_13x2x2.gcc 32	k_13x2x2 greedy 13 2 2 15.295163	k_13x2x2.greedy 15	k_13x2x2.greedy 32
k_13x3x1 gcc 13 3 1 20.513854	k_13x3x1.gcc 0	k_13x3x1.gcc 28	k_13x3x1 greedy 13 3 1 22.246690	k_13x3x1.greedy 0	k_13x3x1.greedy 16
k_14x1x1 gcc 14 1 1 12.734671	k_14x1x1.gcc 0	k_14x1x1.gcc 28	k_14x1x1 greedy 14 1 1 22.835711	k_14x1x1.greedy 0	k_14x1x1.greedy 15
k_14x1x2 gcc 14 1 2 10.712713	k_14x1x2.gcc 25	k_14x1x2.gcc 32	k_14x1x2 greedy 14 1 2 29.949697	k_14x1x2.greedy 0	k_14x1x2.greedy 31
k_14x1x3 gcc 14 1 3 9.092984	k_14x1x3.gcc 54	k_14x1x3.gcc 32	k_14x1x3 greedy 14 1 3 8.543258	k_14x1x3.greedy 22	k_14x1x3.greedy 32
k_14x2x1 gcc 14 2 1 17.910186	k_14x2x1.gcc 0	k_14x2x1.gcc 29	k_14x2x1 greedy 14 2 1 22.938103	k_14x2x1.greedy 0	k_14x2x1.greedy 16
k_14x2x2 gcc 14 2 2 14.759550	k_14x2x2.gcc 30	k_14x2x2.gcc 32	k_14x2x2 greedy 14 2 2 8.269549	k_14x2x2.greedy 35	k_14x2x2.greedy 32
k_14x3x1 gcc 14 3 1 20.917968	k_14x3x1.gcc 0	k_14x3x1.gcc 30	k_14x3x1 greedy 14 3 1 22.545616	k_14x3x1.greedy 0	k_14x3x1.greedy 17
k_1x10x1 gcc 1 10 1 4.373316	k_1x10x1.gcc 0	k_1x10x1.gcc 6	k_1x10x1 greedy 1 10 1 4.320328	k_1x10x1.greedy 0	k_1x10x1.greedy 11
k_1x10x2 gcc 1 10 2 8.200546	k_1x10x2.gcc 0	k_1x10x2.gcc 12	k_1x10x2 greedy 1 10 2 8.027840	k_1x10x2.greedy 0	k_1x10x2.greedy 12
k_1x10x3 gcc 1 10 3 9.062858	k_1x10x3.gcc 0	k_1x10x3.gcc 15	k_1x10x3 greedy 1 10 3 8.891178	k_1x10x3.greedy 0	k_1x10x3.greedy 13
k_1x10x4 gcc 1 10 4 9.881475	k_1x10x4.gcc 0	k_1x10x4.gcc 17	k_1x10x4 greedy 1 10 4 8.662519	k_1x10x4.greedy 0	k_1x10x4.greedy 14
k_1x11x1 gcc 1 11 1 4.389198	k_1x11x1.gcc 0	k_1x11x1.gcc 6	k_1x11x1 greedy 1 11 1 4.356749	k_1x11x1.greedy 0	k_1x11x1.greedy 12
k_1x11x2 gcc 1 11 2 8.282998	k_1x11x2.gcc 0	k_1x11x2.gcc 13	k_1x11x2 greedy 1 11 2 8.014631	k_1x11x2.greedy 0	k_1x11x2.greedy 13
k_1x11x3 gcc 1 11 3 9.065813	k_1x11x3.gcc 0	k_1x11x3.gcc 16	k_1x11x3 greedy 1 11 3 8.922015	k_1x11x3.greedy 0	k_1x11x3.greedy 14
k_1x11x4 gcc 1 11 4 9.953037	k_1x11x4.gcc 0	k_1x11x4.gcc 18	k_1x11x4 greedy 1 11 4 8.592817	k_1x11x4.greedy 0	k_1x11x4.greedy 15
k_1x12x1 gcc 1 12 1 4.357484	k_1x12x1.gcc 0	k_1x12x1.gcc 6	k_1x12x1 greedy 1 12 1 4.331066	k_1x12x1.greedy 0	k_1x12x1.greedy 13
k_1x12x2 gcc 1 12 2 8.220043	k_1x12x2.gcc 0	k_1x12x2.gcc 14	k_1x12x2 greedy 1 12 2 8.000870	k_1x12x2.greedy 0	k_1x12x2.greedy 14
k_1x12x3 gcc 1 12 3 9.002447	k_1x12x3.gcc 0	k_1x12x3.gcc 17	k_1x12x3 greedy 1 12 3 8.874431	k_1x12x3.greedy 0	k_1x12x3.greedy 15
k_1x12x4 gcc 1 12 4 10.020174	k_1x12x4.gcc 0	k_1x12x4.gcc 19	k_1x12x4 greedy 1 12 4 8.362441	k_1x12x4.greedy 0	k_1x12x4.greedy 16
k_1x13x1 gcc 1 13 1 4.368684	k_1x13x1.gcc 0	k_1x13x1.gcc 6	k_1x13x1 greedy 1 13 1 4.288286	k_1x13x1.greedy 0	k_1x13x1.greedy 14
k_1x13x2 gcc 1 13 2 8.133465	k_1x13x2.gcc 0	k_1x13x2.gcc 15	k_1x13x2 greedy 1 13 2 7.946106	k_1x13x2.greedy 0	k_1x13x2.greedy 15
k_1x13x3 gcc 1 13 3 9.185221	k_1x13x3.gcc 0	k_1x13x3.gcc 18	k_1x13x3 greedy 1 13 3 8.939510	k_1x13x3.greedy 0	k_1x13x3.greedy 16
k_1x14x1 gcc 1 14 1 4.364037	k_1x14x1.gcc 0	k_1x14x1.gcc 6	k_1x14x1 greedy 1 14 1 4.273694	k_1x14x1.greedy 0	k_1x14x1.greedy 15
k_1x14x2 gcc 1 14 2 8.034755	k_1x14x2.gcc 0	k_1x14x2.gcc 16	k_1x14x2 greedy 1 14 2 7.878489	k_1x14x2.greedy 0	k_1x14x2.greedy 16
k_1x14x3 gcc 1 14 3 9.360407	k_1x14x3.gcc 0	k_1x14x3.gcc 19	k_1x14x3 greedy 1 14 3 8.989563	k_1x14x3.greedy 0	k_1x14x3.greedy 17
k_1x1x1 gcc 1 1 1 3.840766	k_1x1x1.gcc 0	k_1x1x1.gcc 2	k_1x1x1 greedy 1 1 1 2.364511	k_1x1x1.greedy 0	k_1x1x1.greedy 2
k_1x1x2 gcc 1 1 2 7.730357	k_1x1x2.gcc 0	k_1x1x2.gcc 4	k_1x1x2 greedy 1 1 2 8.286836	k_1x1x2.greedy 0	k_1x1x2.greedy 3
k_1x1x3 gcc 1 1 3 7.332393	k_1x1x3.gcc 0	k_1x1x3.gcc 6	k_1x1x3 greedy 1 1 3 10.136846	k_1x1x3.greedy 0	k_1x1x3.greedy 4
k_1x1x4 gcc 1 1 4 8.993726	k_1x1x4.gcc 0	k_1x1x4.gcc 8	k_1x1x4 greedy 1 1 4 10.866470	k_1x1x4.greedy 0	k_1x1x4.greedy 5
k_1x1x5 gcc 1 1 5 10.192131	k_1x1x5.gcc 0	k_1x1x5.gcc 10	k_1x1x5 greedy 1 1 5 10.769231	k_1x1x5.greedy 0	k_1x1x5.greedy 6
k_1x1x6 gcc 1 1 6 10.782723	k_1x1x6.gcc 0	k_1x1x6.gcc 12	k_1x1x6 greedy 1 1 6 10.926829	k_1x1x6.greedy 0	k_1x1x6.greedy 7
k_1x1x7 gcc 1 1 7 10.784628	k_1x1x7.gcc 0	k_1x1x7.gcc 14	k_1x1x7 greedy 1 1 7 11.106944	k_1x1x7.greedy 0	k_1x1x7.greedy 8
k_1x1x8 gcc 1 1 8 10.894865	k_1x1x8.gcc 0	k_1x1x8.gcc 16	k_1x1x8 greedy 1 1 8 11.217768	k_1x1x8.greedy 0	k_1x1x8.greedy 9
k_1x2x1 gcc 1 2 1 4.350364	k_1x2x1.gcc 0	k_1x2x1.gcc 3	k_1x2x1 greedy 1 2 1 3.530451	k_1x2x1.greedy 0	k_1x2x1.greedy 3
k_1x2x2 gcc 1 2 2 7.365558	k_1x2x2.gcc 0	k_1x2x2.gcc 5	k_1x2x2 greedy 1 2 2 8.261194	k_1x2x2.greedy 0	k_1x2x2.greedy 4
k_1x2x3 gcc 1 2 3 9.041643	k_1x2x3.gcc 0	k_1x2x3.gcc 7	k_1x2x3 greedy 1 2 3 10.336147	k_1x2x3.greedy 0	k_1x2x3.greedy 5
k_1x2x4 gcc 1 2 4 10.792620	k_1x2x4.gcc 0	k_1x2x4.gcc 9	k_1x2x4 greedy 1 2 4 10.829027	k_1x2x4.greedy 0	k_1x2x4.greedy 6
k_1x2x5 gcc 1 2 5 10.732124	k_1x2x5.gcc 0	k_1x2x5.gcc 8	k_1x2x5 greedy 1 2 5 10.773133	k_1x2x5.greedy 0	k_1x2x5.greedy 7
k_1x2x6 gcc 1 2 6 10.872190	k_1x2x6.gcc 0	k_1x2x6.gcc 8	k_1x2x6 greedy 1 2 6 10.879574	k_1x2x6.greedy 0	k_1x2x6.greedy 8
k_1x2x7 gcc 1 2 7 10.872211	k_1x2x7.gcc 0	k_1x2x7.gcc 9	k_1x2x7 greedy 1 2 7 10.924222	k_1x2x7.greedy 0	k_1x2x7.greedy 9
k_1x2x8 gcc 1 2 8 11.043053	k_1x2x8.gcc 0	k_1x2x8.gcc 10	k_1x2x8 greedy 1 2 8 10.997678	k_1x2x8.greedy 0	k_1x2x8.greedy 10
k_1x3x1 gcc 1 3 1 4.340483	k_1x3x1.gcc 0	k_1x3x1.gcc 4	k_1x3x1 greedy 1 3 1 4.369740	k_1x3x1.greedy 0	k_1x3x1.greedy 4
k_1x3x2 gcc 1 3 2 7.819667	k_1x3x2.gcc 0	k_1x3x2.gcc 6	k_1x3x2 greedy 1 3 2 8.256560	k_1x3x2.greedy 0	k_1x3x2.greedy 5
k_1x3x3 gcc 1 3 3 9.930320	k_1x3x3.gcc 0	k_1x3x3.gcc 8	k_1x3x3 greedy 1 3 3 10.060402	k_1x3x3.greedy 0	k_1x3x3.greedy 6
k_1x3x4 gcc 1 3 4 10.768814	k_1x3x4.gcc 0	k_1x3x4.gcc 9	k_1x3x4 greedy 1 3 4 10.632396	k_1x3x4.greedy 0	k_1x3x4.greedy 7
k_1x3x5 gcc 1 3 5 10.636714	k_1x3x5.gcc 0	k_1x3x5.gcc 8	k_1x3x5 greedy 1 3 5 10.654630	k_1x3x5.greedy 0	k_1x3x5.greedy 8
k_1x3x6 gcc 1 3 6 10.823790	k_1x3x6.gcc 0	k_1x3x6.gcc 9	k_1x3x6 greedy 1 3 6 10.736391	k_1x3x6.greedy 0	k_1x3x6.greedy 9
k_1x3x7 gcc 1 3 7 10.854402	k_1x3x7.gcc 0	k_1x3x7.gcc 11	k_1x3x7 greedy 1 3 7 10.658565	k_1x3x7.greedy 0	k_1x3x7.greedy 10
k_1x3x8 gcc 1 3 8 10.991828	k_1x3x8.gcc 0	k_1x3x8.gcc 17	k_1x3x8 greedy 1 3 8 10.858893	k_1x3x8.greedy 0	k_1x3x8.greedy 11
k_1x4x1 gcc 1 4 1 4.384245	k_1x4x1.gcc 0	k_1x4x1.gcc 5	k_1x4x1 greedy 1 4 1 4.353876	k_1x4x1.greedy 0	k_1x4x1.greedy 5
k_1x4x2 gcc 1 4 2 8.278446	k_1x4x2.gcc 0	k_1x4x2.gcc 7	k_1x4x2 greedy 1 4 2 8.190397	k_1x4x2.greedy 0	k_1x4x2.greedy 6
k_1x4x3 gcc 1 4 3 10.161650	k_1x4x3.gcc 0	k_1x4x3.gcc 9	k_1x4x3 greedy 1 4 3 9.967186	k_1x4x3.greedy 0	k_1x4x3.greedy 7
k_1x4x4 gcc 1 4 4 11.360486	k_1x4x4.gcc 0	k_1x4x4.gcc 9	k_1x4x4 greedy 1 4 4 10.563947	k_1x4x4.greedy 0	k_1x4x4.greedy 8
k_1x4x5 gcc 1 4 5 10.620423	k_1x4x5.gcc 0	k_1x4x5.gcc 9	k_1x4x5 greedy 1 4 5 10.570477	k_1x4x5.greedy 0	k_1x4x5.greedy 9
